Year,Number of reported natural disasters (reported disasters)
1900,5
1901,2
1902,9
1903,8
1904,2
1905,4
1906,17
1907,5
1908,4
1909,11
1910,15
1911,5
1912,7
1913,5
1914,6
1915,7
1916,2
1917,6
1918,7
1919,4
1920,7
1921,2
1922,6
1923,12
1924,4
1925,6
1926,15
1927,12
1928,17
1929,6
1930,14
1931,12
1932,8
1933,10
1934,9
1935,11
1936,11
1937,7
1938,7
1939,11
1940,17
1941,5
1942,9
1943,12
1944,12
1945,12
1946,15
1947,12
1948,23
1949,20
1950,23
1951,27
1952,24
1953,34
1954,33
1955,30
1956,36
1957,29
1958,23
1959,33
1960,40
1961,28
1962,28
1963,41
1964,60
1965,61
1966,80
1967,70
1968,77
1969,62
1970,77
1971,61
1972,63
1973,60
1974,68
1975,63
1976,91
1977,121
1978,115
1979,120
1980,133
1981,138
1982,153
1983,205
1984,146
1985,165
1986,150
1987,191
1988,200
1989,172
1990,278
1991,228
1992,204
1993,260
1994,246
1995,248
1996,227
1997,261
1998,288
1999,337
2000,411
2001,376
2002,421
2003,360
2004,350
2005,432
2006,401
2007,414
2008,352
2009,344
2010,393
2011,334
2012,346
2013,332
2014,320
2015,380
2016,325
2017,276
2018,282
2019,361
1900,2
1903,1
1906,1
1910,9
1919,1
1920,2
1921,1
1928,1
1931,1
1933,1
1940,9
1942,1
1943,1
1946,1
1947,1
1960,1
1961,1
1963,1
1964,7
1965,7
1966,9
1967,5
1968,7
1969,10
1970,2
1971,7
1972,7
1973,2
1974,4
1975,1
1976,6
1977,16
1978,9
1979,11
1980,14
1981,13
1982,13
1983,32
1984,8
1985,3
1986,4
1987,15
1988,17
1989,7
1990,12
1991,18
1992,12
1993,9
1994,13
1995,6
1996,6
1997,18
1998,20
1999,23
2000,27
2001,22
2002,25
2003,14
2004,11
2005,20
2006,9
2007,11
2008,16
2009,18
2010,17
2011,17
2012,21
2013,9
2014,18
2015,28
2016,15
2017,7
2018,13
1901,2
1902,3
1903,1
1904,1
1905,2
1906,10
1907,5
1908,3
1909,3
1910,3
1912,2
1913,4
1914,4
1915,3
1916,1
1917,3
1918,5
1920,3
1921,1
1922,2
1923,5
1924,2
1925,2
1926,1
1927,6
1928,7
1929,2
1930,7
1931,4
1932,2
1933,4
1934,4
1935,3
1936,2
1938,2
1939,6
1940,4
1941,2
1942,5
1943,5
1944,4
1945,4
1946,8
1947,2
1948,5
1949,6
1950,4
1951,3
1952,8
1953,7
1954,5
1955,4
1956,6
1957,8
1958,4
1959,3
1960,9
1961,2
1962,3
1963,3
1964,7
1965,7
1966,11
1967,10
1968,14
1969,8
1970,11
1971,5
1972,5
1973,4
1974,4
1975,4
1976,20
1977,14
1978,9
1979,25
1980,24
1981,17
1982,18
1983,25
1984,13
1985,22
1986,21
1987,19
1988,18
1989,19
1990,43
1991,29
1992,25
1993,20
1994,25
1995,26
1996,13
1997,23
1998,30
1999,33
2000,30
2001,25
2002,37
2003,40
2004,42
2005,25
2006,24
2007,21
2008,23
2009,22
2010,24
2011,30
2012,27
2013,29
2014,26
2015,23
2016,30
2017,19
2018,20
1936,2
1951,2
1953,3
1955,1
1958,2
1961,1
1962,1
1963,2
1965,1
1966,2
1968,2
1971,1
1972,2
1973,3
1975,3
1977,1
1978,1
1979,4
1980,3
1981,2
1982,3
1983,2
1984,1
1985,8
1986,2
1987,6
1988,6
1989,5
1990,13
1991,8
1992,7
1993,4
1994,9
1995,13
1996,5
1997,13
1998,12
1999,8
2000,31
2001,23
2002,15
2003,25
2004,16
2005,30
2006,24
2007,25
2008,10
2009,25
2010,29
2011,16
2012,51
2013,14
2014,17
2015,12
2016,12
2017,11
2018,25
1900,1
1902,1
1903,2
1904,1
1905,1
1906,3
1909,5
1910,1
1911,2
1912,5
1913,1
1914,1
1915,2
1916,1
1917,2
1918,1
1919,2
1920,1
1922,2
1923,6
1924,2
1925,3
1926,7
1927,4
1928,7
1929,2
1930,4
1931,4
1932,5
1933,3
1934,4
1935,7
1936,5
1937,3
1938,2
1939,2
1940,3
1941,2
1942,3
1943,3
1944,5
1945,7
1946,5
1947,7
1948,10
1949,8
1950,7
1951,11
1952,10
1953,11
1954,10
1955,19
1956,14
1957,9
1958,13
1959,16
1960,20
1961,14
1962,13
1963,21
1964,22
1965,19
1966,28
